IMAGE_ID,METHOD,PSNR(dB),SSIM,MSE
0801,lanczos,24.14716360982686,0.9983830422436841,250.24418813985773
0801,espcn_medium,27.924468601984806,0.9996453578887097,104.86570977210944
0801,bilinear,24.207682075365867,0.9983859163687572,246.78124638498468
0801,espcn_thick,28.687080295949766,0.9997501377196018,87.97764474521372
0801,1e-3-30,26.959919657837123,0.9995342737011637,130.94484173462897
0801,bicubic_-0.5,24.208346314304453,0.9983823584982409,246.7435049019608
0801,nearest,22.049853900078414,0.9976719532250999,405.5972211377176
0801,adaptive_bicubic_-0.5,24.37849273566302,0.998331861002904,237.2635845045983
0802,lanczos,28.676922990282954,0.9991113431836082,88.18364820116837
0802,espcn_medium,33.47578820005432,0.9998950416933265,29.207981230840417
0802,nearest,26.274191413609664,0.998724860355134,153.34203395222397
0802,1e-3-30,32.28492009642983,0.9997999148940482,38.422741699924806
0802,espcn_thick,34.7323246655397,0.9999663427411485,21.869955246110244
0802,bicubic_-0.5,28.713770090069744,0.9990946924178095,87.43863149979757
0802,bilinear,28.717627024670747,0.9990949719721134,87.36101242119267
0802,adaptive_bicubic_-0.5,28.880452915718013,0.9990665637768019,84.14630870784892
0803,lanczos,27.786866135795364,0.9992020440107785,108.24148635365604
0803,espcn_medium,34.14764122221064,0.999873928645274,25.021666921977125
0803,espcn_thick,36.25674999270976,0.9999344293568241,15.395909926470589
0803,bicubic_-0.5,27.869779723826646,0.99916833463344,106.194589013991
0803,adaptive_bicubic_-0.5,28.093041062675532,0.9991590719037312,100.87330601511438
0803,bilinear,27.907260923285712,0.9991672923202095,105.28203444138072
0803,1e-3-30,31.880206918083328,0.9997613323514087,42.17544455933415
0803,nearest,25.872662074164342,0.998905537477408,168.19541526245916
0807,lanczos,18.515026171490522,0.9930835415080209,915.3300992560145
0807,espcn_medium,19.746448705837025,0.9953075912933315,689.3431911417049
0807,espcn_thick,19.96105715732249,0.9955781200314825,656.1069605235712
0807,bicubic_-0.5,18.536677182608553,0.9931524334031525,910.7782327736059
0807,1e-3-30,19.506033451328758,0.9952929476213211,728.5796147093589
0807,bilinear,18.549573080051317,0.9930956465963855,908.0777882074816
0807,adaptive_bicubic_-0.5,18.618097902266438,0.9930706762538827,893.862197104019
0807,nearest,17.63202339206009,0.992093783292354,1121.7033622757613
0829,espcn_medium,26.016516603544755,0.9990329247007294,162.7154158713633
0829,lanczos,24.25524104661086,0.99793090222846,244.09352333853894
0829,1e-3-30,25.661617809582488,0.9989372167982005,176.57067608016658
0829,nearest,23.00592251831111,0.9975646099654805,325.45287249117933
0829,adaptive_bicubic_-0.5,24.375937009947215,0.9978476544282067,237.40324989877956
0829,espcn_thick,26.328025144722954,0.999131740772758,151.45298817166986
0829,bilinear,24.29155670486281,0.9978687474307742,242.06092602232633
0829,bicubic_-0.5,24.27501925931509,0.9978981229082192,242.9844239834577
0843,espcn_thick,39.16401001580883,0.9997425346523361,7.882779151483602
0843,1e-3-30,36.596401399032494,0.9996930876269549,14.237712562901267
0843,lanczos,33.67098389762218,0.9996772850482198,27.924279165943663
0843,espcn_medium,37.884644725133676,0.9999132230329578,10.583172826652785
0843,bilinear,33.676845480284356,0.9996708716610467,27.886615767250852
0843,bicubic_-0.5,33.70096891708176,0.9996709230717236,27.732145439296662
0843,adaptive_bicubic_-0.5,33.88129892508131,0.9996567938933048,26.604216192376654
0843,nearest,31.209202381108238,0.9995137620430389,49.22209822719648
0855,lanczos,25.585671226996034,0.9995510378280232,179.68558511149558
0855,espcn_medium,28.448362234046478,0.9998397496189847,92.94887495194156
0855,nearest,23.877528594726193,0.9994303521180321,266.2732268838908
0855,espcn_thick,28.9411589229046,0.9998749523152421,82.97828767781623
0855,1e-3-30,27.501394644563497,0.9995810472656486,115.5954916378316
0855,adaptive_bicubic_-0.5,25.783558176995214,0.9995331813910686,171.68191272587467
0855,bicubic_-0.5,25.63412558250342,0.9995515922022725,177.69197015570936
0855,bilinear,25.636510413369304,0.9995498742904884,177.59442137639368
0884,lanczos,22.30828691181998,0.9971520711261834,382.1656681994332
0884,espcn_medium,24.9166864,0.9988741462014373,209.6098664613338
0884,1e-3-30,24.328438706674614,0.9987631839811947,240.0139532361617
0884,espcn_thick,25.497295347317788,0.9990288135489055,183.37951768465499
0884,bilinear,22.346033370413217,0.9971439366890753,378.858489863497
0884,nearest,20.6495289281968,0.9961589356099999,559.9219178379317
0884,adaptive_bicubic_-0.5,22.49367050701851,0.997115411027165,366.1957588640176
0884,bicubic_-0.5,22.346248299001196,0.9971605420144407,378.83974094800163
0886,lanczos,29.33481853639927,0.9993080691755911,75.78766159118514
0886,espcn_medium,34.33467969432297,0.9998276342404061,23.966929116779454
0886,bilinear,29.28328293304616,0.9992895968705914,76.69235388108045
0886,espcn_thick,35.803752167817755,0.9998973234364974,17.088547269940424
0886,1e-3-30,32.56150329929895,0.9997285940194646,36.05205549771531
0886,bicubic_-0.5,29.340881104163905,0.9992952227671653,75.68193902192145
0886,adaptive_bicubic_-0.5,29.502387471594304,0.9992879479106271,72.9191527127075
0886,nearest,27.135863242786765,0.9989460143091222,125.7459587743652
AVERAGE,lanczos,26.03,0.9982,252.41
AVERAGE,espcn_medium,29.66,0.9991,149.81
AVERAGE,bilinear,26.07,0.9981,250.07
AVERAGE,espcn_thick,30.6,0.9992,136.01
AVERAGE,1e-3-30,28.59,0.999,169.18
AVERAGE,bicubic_-0.5,26.07,0.9982,250.45
AVERAGE,nearest,24.19,0.9977,352.83
AVERAGE,adaptive_bicubic_-0.5,26.22,0.9981,243.44
,METHOD,PSNR(dB),SSIM,MSE
,nearest,24.19,0.9977,352.83
,bilinear,26.07,0.9981,250.07
,bicubic_-0.5,26.07,0.9982,250.45
,lanczos,26.03,0.9982,252.41
,espcn_thick,30.6,0.9992,136.01
,espcn_medium,29.66,0.9991,149.81
,1e-3-30,28.59,0.999,169.18
